Fixture/Gauge #,Name,Image,Description,Quantity,UoM,Created on
"6878","BOM-65","https://mentor-uat3.cdsvisual.net/assets/images/default_no_image.png","","0","","Oct 30, 2025"
"2.0 - 3.0 BORE MICROMETER","MICROMETER","https://mentor-uat3.cdsvisual.net/assets/images/default_no_image.png","BORE","0","","Oct 30, 2025"
"J8553","SET RING","https://mentor-uat3.cdsvisual.net/assets/images/default_no_image.png","","0","","Oct 30, 2025"
"G11410-1","SET RING","https://mentor-uat3.cdsvisual.net/assets/images/default_no_image.png","","0","","Oct 30, 2025"
"DIAL INDICATOR","WITH MAGNETIC BASE","https://mentor-uat3.cdsvisual.net/assets/images/default_no_image.png","","0","","Oct 30, 2025"
"MF0585 STATION #1 PLATE 3","MILL FIXTURE","https://mentor-uat3.cdsvisual.net/assets/images/default_no_image.png","VMC BALL LOCK","0","","Oct 30, 2025"
"MF9460","MILL FIXTURE","https://mentor-uat3.cdsvisual.net/assets/images/default_no_image.png","HMC BALL LOCK","0","","Oct 30, 2025"
